created_at,entry_id,field1,field2,field3,field4,field5,field6,latitude,longitude,elevation,status
2024-05-27T03:28:35+00:00,293,28,81,89,5,-8,0,,,,
2024-05-27T03:28:56+00:00,294,28,81,82,5,-8,0,,,,
2024-05-27T03:29:18+00:00,295,28,81,79,5,-8,0,,,,
2024-05-27T03:29:38+00:00,296,28,81,80,5,-8,0,,,,
2024-05-27T03:29:58+00:00,297,27,82,87,5,-8,0,,,,
2024-05-27T03:30:18+00:00,298,27,82,80,5,-8,0,,,,
2024-06-03T06:28:48+00:00,299,35,64,0,0,3,0,,,,
2024-06-03T06:29:12+00:00,300,35,65,0,0,3,0,,,,
2024-06-03T06:29:37+00:00,301,35,65,0,0,3,36.08233,,,,
2024-06-03T06:30:04+00:00,302,35,64,0,0,3,15.20173,,,,
2024-06-03T06:30:29+00:00,303,35,64,0,0,3,9.45215,,,,
2024-06-03T06:30:44+00:00,304,35,64,0,0,3,20.86248,,,,
2024-06-03T06:53:57+00:00,305,39,64,0,0,1,0,,,,
2024-06-03T06:54:37+00:00,306,39,64,0,0,1,0,,,,
2024-06-03T06:54:57+00:00,307,39,64,0,0,1,0,,,,
2024-06-03T06:55:16+00:00,308,39,62,0,0,1,0,,,,
2024-06-03T06:55:35+00:00,309,39,61,0,0,1,0,,,,
2024-06-03T06:55:55+00:00,310,40,58,0,0,1,0,,,,
2024-06-03T06:56:15+00:00,311,40,59,0,0,2,0,,,,
2024-06-03T06:56:37+00:00,312,40,58,0,0,1,0,,,,
2024-06-03T06:56:57+00:00,313,40,56,0,0,1,0,,,,
2024-06-03T06:57:17+00:00,314,40,53,0,0,1,3.41309,,,,
2024-06-03T06:57:37+00:00,315,41,52,0,0,1,44.22822,,,,
2024-06-03T06:57:57+00:00,316,41,53,0,0,1,12.45237,,,,
2024-06-03T06:58:19+00:00,317,41,54,2,0,1,23.4852,,,,
2024-06-03T06:58:39+00:00,318,42,57,3,0,1,64.75812,,,,
2024-06-03T06:59:01+00:00,319,42,56,0,0,1,35.84311,,,,
2024-06-03T06:59:21+00:00,320,43,56,3,0,1,45.93478,,,,
2024-06-03T06:59:40+00:00,321,43,53,4,0,1,62.53376,,,,
2024-06-03T07:00:00+00:00,322,43,53,0,0,1,26.35046,,,,
2024-06-03T07:00:19+00:00,323,43,48,10,0,1,12.07292,,,,
2024-06-03T07:00:43+00:00,324,43,47,16,0,1,0,,,,
2024-06-03T07:01:04+00:00,325,43,47,5,0,1,0,,,,
2024-06-03T07:01:23+00:00,326,42,48,0,0,1,0,,,,
2024-06-03T07:01:42+00:00,327,42,48,3,0,1,0,,,,
2024-06-03T07:02:04+00:00,328,42,49,0,0,1,0,,,,
2024-06-03T07:02:25+00:00,329,41,50,10,0,1,0,,,,
2024-06-03T07:02:45+00:00,330,41,52,0,0,1,10.15125,,,,
2024-06-03T07:03:07+00:00,331,41,53,0,0,1,0,,,,
2024-06-03T07:03:26+00:00,332,40,54,0,0,1,0,,,,
2024-06-03T07:03:46+00:00,333,40,57,0,0,1,0,,,,
2024-06-03T07:04:06+00:00,334,40,56,0,0,1,0,,,,
2024-06-03T07:04:26+00:00,335,40,56,0,0,1,0,,,,
2024-06-03T07:04:47+00:00,336,40,54,0,0,0,0,,,,
2024-06-03T07:05:07+00:00,337,40,53,0,0,1,0,,,,
2024-06-03T07:05:29+00:00,338,40,53,0,0,1,0,,,,
2024-06-03T07:05:49+00:00,339,40,55,0,0,1,0,,,,
2024-06-03T07:06:09+00:00,340,40,55,0,0,1,3.444,,,,
2024-06-03T07:06:32+00:00,341,40,55,0,0,1,0,,,,
2024-06-03T07:06:53+00:00,342,40,55,0,0,0,0,,,,
2024-06-03T07:07:12+00:00,343,40,54,0,0,0,0,,,,
2024-06-03T07:07:32+00:00,344,40,54,0,0,1,0,,,,
2024-06-03T07:07:53+00:00,345,40,53,0,0,0,2.3582,,,,
2024-06-03T07:08:12+00:00,346,40,52,0,0,0,0,,,,
2024-06-03T07:08:48+00:00,347,41,52,0,0,4,0,,,,
2024-06-03T07:09:08+00:00,348,41,52,0,0,3,0,,,,
2024-06-03T07:09:42+00:00,349,41,53,0,0,3,0,,,,
2024-06-03T07:10:03+00:00,350,42,52,0,0,3,0,,,,
2024-06-03T07:10:24+00:00,351,42,49,0,0,3,0,,,,
2024-06-03T07:10:48+00:00,352,42,49,0,0,3,0,,,,
2024-06-03T07:11:11+00:00,353,42,48,0,0,2,0,,,,
2024-06-03T07:11:32+00:00,354,41,49,5,0,2,0,,,,
2024-06-03T07:11:55+00:00,355,41,49,5,0,2,0,,,,
2024-06-03T07:12:17+00:00,356,41,51,10,0,2,0,,,,
2024-06-03T07:12:37+00:00,357,42,50,1,0,2,0,,,,
2024-06-03T07:12:57+00:00,358,42,52,0,0,2,22.91161,,,,
2024-06-03T07:13:16+00:00,359,42,52,7,0,2,0,,,,
2024-06-03T07:13:36+00:00,360,42,50,0,0,2,0,,,,
2024-06-03T07:13:56+00:00,361,42,49,0,0,2,0,,,,
2024-06-03T07:14:15+00:00,362,42,50,0,0,2,0,,,,
2024-06-03T07:14:34+00:00,363,42,50,0,0,2,0,,,,
2024-06-03T07:14:54+00:00,364,42,49,0,0,2,0,,,,
2024-06-03T07:15:16+00:00,365,42,49,0,0,2,0,,,,
2024-06-03T07:15:40+00:00,366,43,51,19,0,2,0,,,,
2024-06-03T07:16:06+00:00,367,43,51,49,0,1,0,,,,
2024-06-03T07:16:40+00:00,368,43,54,39,0,1,0,,,,
2024-06-03T07:17:50+00:00,369,43,53,36,0,1,0,,,,
2024-06-03T07:18:10+00:00,370,44,49,6,0,1,30.6918,,,,
2024-06-03T07:18:28+00:00,371,44,48,0,0,1,4.7259,,,,
2024-06-03T07:18:48+00:00,372,44,47,0,0,1,0,,,,
2024-06-03T07:19:08+00:00,373,43,46,0,0,1,0,,,,
2024-06-03T07:19:29+00:00,374,43,46,0,0,1,0,,,,
2024-06-03T07:19:48+00:00,375,43,46,0,0,1,0,,,,
2024-06-03T07:20:09+00:00,376,43,47,0,0,1,0,,,,
2024-06-03T07:20:29+00:00,377,43,48,9,0,1,0,,,,
2024-06-03T07:20:49+00:00,378,43,49,12,0,1,0,,,,
2024-06-03T07:21:10+00:00,379,43,48,6,0,1,0,,,,
